Parametri velivolo: 
Valore della massa:' 1043 
Valore apertura alare: 10.92 
Valore della superficie alare: 16.3 
Valore della corda: 1.49 
Valore del Mach di Drag Rise: 0.6 
Valore della distanza tra l'asse di spinta e l'asse baricentrico x lungo z :0 
Valore della distanza tra l'asse di spinta e l'asse baricentrico x lungo y :0 
Valore della distanza tra l'asse di spinta e l'asse baricentrico x lungo y :0 
Angolo tra l'asse di spinta e l'asse x nel piano x-y DTZ [deg] >0 verso DX : 0 
Angolo tra l'asse di spinta e l'asse x nel piano x-z DTY [deg] >0 verso l'alto : 0 
Numero di incidenze per cui sono disponibili i dati: 126 
Rotary derivatives (se è 1--> presenti): 0 
Valore del CG:
Valore di JX: 1272.5 
Valore di JY: 1806.7 
Valore di JZ: 2640.3 
Valore di JXZ: 0 
Opzione posizione baricentro: 0 
Nuova posizione baricentro: 0.25 
Posizione pilota lungo X (rispetto al CG): 0 
Posizione pilota lungo Y (rispetto al CG): 0 
Posizione pilota lungo Z (rispetto al CG): 0 

Parametri Deflection Limits: 
Deflessione MAX elevator: 20 
Deflessione MIN elevator: -20 
Deflessione Ailerons: 20 
Deflessione Rudder: 20 
Deflessione Flap MIN: 40 
Deflessione FLAP MAX: 0 

Parametri Massa Combustibile: 
Opzione massa (0-->costante, 1-->variabile): 1 
Frazione peso di combustibile (MTOW): 0.05 

Steady State Coefficients: 
alfa 	 CX 	 CY 	 CZ 	 Cl 	 Cm 	 Cn 	 
alfa 	 CXA 	 CXAP 	 CXU 	 CXQ 	 CXB 	 CXP 	 CXR 	 

 -5 	 0.183006 	 0 	 0 	 0 	 0 	 0 	 0 	
 -4.8 	 0.183006 	 0 	 0 	 0 	 0 	 0 	 0 	
 -4.6 	 0.0381275 	 0 	 0 	 0 	 0 	 0 	 0 	
 -4.4 	 -0.0912622 	 0 	 0 	 0 	 0 	 0 	 0 	
 -4.2 	 -0.205154 	 0 	 0 	 0 	 0 	 0 	 0 	
 -4 	 -0.303539 	 0 	 0 	 0 	 0 	 0 	 0 	
 -3.8 	 -0.357836 	 0 	 0 	 0 	 0 	 0 	 0 	
 -3.6 	 -0.344302 	 0 	 0 	 0 	 0 	 0 	 0 	
 -3.4 	 -0.328701 	 0 	 0 	 0 	 0 	 0 	 0 	
 -3.2 	 -0.313124 	 0 	 0 	 0 	 0 	 0 	 0 	
 -3 	 -0.297571 	 0 	 0 	 0 	 0 	 0 	 0 	
 -2.8 	 -0.280439 	 0 	 0 	 0 	 0 	 0 	 0 	
 -2.6 	 -0.256325 	 0 	 0 	 0 	 0 	 0 	 0 	
 -2.4 	 -0.231389 	 0 	 0 	 0 	 0 	 0 	 0 	
 -2.2 	 -0.206448 	 0 	 0 	 0 	 0 	 0 	 0 	
 -2 	 -0.181503 	 0 	 0 	 0 	 0 	 0 	 0 	
 -1.8 	 -0.157561 	 0 	 0 	 0 	 0 	 0 	 0 	
 -1.6 	 -0.144141 	 0 	 0 	 0 	 0 	 0 	 0 	
 -1.4 	 -0.133519 	 0 	 0 	 0 	 0 	 0 	 0 	
 -1.2 	 -0.122898 	 0 	 0 	 0 	 0 	 0 	 0 	
 -1 	 -0.112275 	 0 	 0 	 0 	 0 	 0 	 0 	
 -0.8 	 -0.101303 	 0 	 0 	 0 	 0 	 0 	 0 	
 -0.6 	 -0.0743126 	 0 	 0 	 0 	 0 	 0 	 0 	
 -0.4 	 -0.038614 	 0 	 0 	 0 	 0 	 0 	 0 	
 -0.2 	 -0.00291071 	 0 	 0 	 0 	 0 	 0 	 0 	
 0 	 0.0327962 	 0 	 0 	 0 	 0 	 0 	 0 	
 0.2 	 0.0685055 	 0 	 0 	 0 	 0 	 0 	 0 	
 0.4 	 0.0977046 	 0 	 0 	 0 	 0 	 0 	 0 	
 0.6 	 0.119248 	 0 	 0 	 0 	 0 	 0 	 0 	
 0.8 	 0.140781 	 0 	 0 	 0 	 0 	 0 	 0 	
 1 	 0.162315 	 0 	 0 	 0 	 0 	 0 	 0 	
 1.2 	 0.183849 	 0 	 0 	 0 	 0 	 0 	 0 	
 1.4 	 0.203007 	 0 	 0 	 0 	 0 	 0 	 0 	
 1.6 	 0.216353 	 0 	 0 	 0 	 0 	 0 	 0 	
 1.8 	 0.229439 	 0 	 0 	 0 	 0 	 0 	 0 	
 2 	 0.242529 	 0 	 0 	 0 	 0 	 0 	 0 	
 2.2 	 0.255624 	 0 	 0 	 0 	 0 	 0 	 0 	
 2.4 	 0.272301 	 0 	 0 	 0 	 0 	 0 	 0 	
 2.6 	 0.307226 	 0 	 0 	 0 	 0 	 0 	 0 	
 2.8 	 0.344707 	 0 	 0 	 0 	 0 	 0 	 0 	
 3 	 0.382181 	 0 	 0 	 0 	 0 	 0 	 0 	
 3.2 	 0.419647 	 0 	 0 	 0 	 0 	 0 	 0 	
 3.4 	 0.455726 	 0 	 0 	 0 	 0 	 0 	 0 	
 3.6 	 0.473886 	 0 	 0 	 0 	 0 	 0 	 0 	
 3.8 	 0.486538 	 0 	 0 	 0 	 0 	 0 	 0 	
 4 	 0.499195 	 0 	 0 	 0 	 0 	 0 	 0 	
 4.2 	 0.511858 	 0 	 0 	 0 	 0 	 0 	 0 	
 4.4 	 0.524745 	 0 	 0 	 0 	 0 	 0 	 0 	
 4.6 	 0.554577 	 0 	 0 	 0 	 0 	 0 	 0 	
 4.8 	 0.595038 	 0 	 0 	 0 	 0 	 0 	 0 	
 5 	 0.635483 	 0 	 0 	 0 	 0 	 0 	 0 	
 5.2 	 0.675908 	 0 	 0 	 0 	 0 	 0 	 0 	
 5.4 	 0.716313 	 0 	 0 	 0 	 0 	 0 	 0 	
 5.6 	 0.737927 	 0 	 0 	 0 	 0 	 0 	 0 	
 5.8 	 0.733794 	 0 	 0 	 0 	 0 	 0 	 0 	
 6 	 0.729531 	 0 	 0 	 0 	 0 	 0 	 0 	
 6.2 	 0.725294 	 0 	 0 	 0 	 0 	 0 	 0 	
 6.4 	 0.721086 	 0 	 0 	 0 	 0 	 0 	 0 	
 6.6 	 0.731304 	 0 	 0 	 0 	 0 	 0 	 0 	
 6.8 	 0.782073 	 0 	 0 	 0 	 0 	 0 	 0 	
 7 	 0.835244 	 0 	 0 	 0 	 0 	 0 	 0 	
 7.2 	 0.888374 	 0 	 0 	 0 	 0 	 0 	 0 	
 7.4 	 0.941458 	 0 	 0 	 0 	 0 	 0 	 0 	
 7.6 	 0.989586 	 0 	 0 	 0 	 0 	 0 	 0 	
 7.8 	 1.00822 	 0 	 0 	 0 	 0 	 0 	 0 	
 8 	 1.02196 	 0 	 0 	 0 	 0 	 0 	 0 	
 8.2 	 1.03569 	 0 	 0 	 0 	 0 	 0 	 0 	
 8.4 	 1.04944 	 0 	 0 	 0 	 0 	 0 	 0 	
 8.6 	 1.06348 	 0 	 0 	 0 	 0 	 0 	 0 	
 8.8 	 1.08241 	 0 	 0 	 0 	 0 	 0 	 0 	
 9 	 1.10307 	 0 	 0 	 0 	 0 	 0 	 0 	
 9.2 	 1.12373 	 0 	 0 	 0 	 0 	 0 	 0 	
 9.4 	 1.14438 	 0 	 0 	 0 	 0 	 0 	 0 	
 9.6 	 1.16502 	 0 	 0 	 0 	 0 	 0 	 0 	
 9.8 	 1.18387 	 0 	 0 	 0 	 0 	 0 	 0 	
 10 	 1.20142 	 0 	 0 	 0 	 0 	 0 	 0 	
 10.2 	 1.21898 	 0 	 0 	 0 	 0 	 0 	 0 	
 10.4 	 1.23654 	 0 	 0 	 0 	 0 	 0 	 0 	
 10.6 	 1.2541 	 0 	 0 	 0 	 0 	 0 	 0 	
 10.8 	 1.27865 	 0 	 0 	 0 	 0 	 0 	 0 	
 11 	 1.31432 	 0 	 0 	 0 	 0 	 0 	 0 	
 11.2 	 1.3501 	 0 	 0 	 0 	 0 	 0 	 0 	
 11.4 	 1.38584 	 0 	 0 	 0 	 0 	 0 	 0 	
 11.6 	 1.42155 	 0 	 0 	 0 	 0 	 0 	 0 	
 11.8 	 1.45071 	 0 	 0 	 0 	 0 	 0 	 0 	
 12 	 1.45872 	 0 	 0 	 0 	 0 	 0 	 0 	
 12.2 	 1.46511 	 0 	 0 	 0 	 0 	 0 	 0 	
 12.4 	 1.47151 	 0 	 0 	 0 	 0 	 0 	 0 	
 12.6 	 1.47793 	 0 	 0 	 0 	 0 	 0 	 0 	
 12.8 	 1.50008 	 0 	 0 	 0 	 0 	 0 	 0 	
 13 	 1.63416 	 0 	 0 	 0 	 0 	 0 	 0 	
 13.2 	 1.79009 	 0 	 0 	 0 	 0 	 0 	 0 	
 13.4 	 1.94592 	 0 	 0 	 0 	 0 	 0 	 0 	
 13.6 	 2.10164 	 0 	 0 	 0 	 0 	 0 	 0 	
 13.8 	 2.24714 	 0 	 0 	 0 	 0 	 0 	 0 	
 14 	 2.16953 	 0 	 0 	 0 	 0 	 0 	 0 	
 14.2 	 1.99678 	 0 	 0 	 0 	 0 	 0 	 0 	
 14.4 	 1.81916 	 0 	 0 	 0 	 0 	 0 	 0 	
